Sun x,Sun y,Mercury x,Mercury y,Venus x,Venus y,Mars x,Mars y
-39.74,109.19,7.81,44.29,-20.33,81.55,168.53,54.11
-58.10,100.63,-22.49,38.95,-42.03,72.79,161.70,71.99
-74.69,89.01,-42.26,15.38,-60.46,58.39,152.98,89.03
-89.01,74.69,-42.26,-15.38,-74.21,39.46,142.47,105.04
-100.63,58.10,-22.49,-38.95,-82.21,17.47,130.29,119.81
-109.19,39.74,7.81,-44.29,-83.85,-5.86,116.59,133.18
-114.43,20.18,34.45,-28.91,-78.98,-28.75,101.52,144.99
-116.20,0.00,44.98,0.00,-68.00,-49.40,85.27,155.11
-114.43,-20.18,34.45,28.91,-51.75,-66.23,68.02,163.41
-109.19,-39.74,7.81,44.29,-31.49,-77.93,49.97,169.80
-100.63,-58.10,-22.49,38.95,-8.79,-83.59,31.34,174.20
-89.01,-74.69,-42.26,15.38,14.60,-82.77,12.35,176.57
-74.69,-89.01,-42.26,-15.38,36.85,-75.54,-6.79,176.87
-58.10,-100.63,-22.49,-38.95,56.24,-62.46,-25.86,175.10
-39.74,-109.19,7.81,-44.29,71.28,-44.54,-44.62,171.28
-20.18,-114.43,34.45,-28.91,80.79,-23.17,-62.85,165.46
0.00,-116.20,44.98,0.00,84.05,0.00,-80.36,157.71
20.18,-114.43,34.45,28.91,80.79,23.17,-96.92,148.11
39.74,-109.19,7.81,44.29,71.28,44.54,-112.35,136.77
58.10,-100.63,-22.49,38.95,56.24,62.46,-126.46,123.84
74.69,-89.01,-42.26,15.38,36.85,75.54,-139.10,109.46
89.01,-74.69,-42.26,-15.38,14.60,82.77,-150.10,93.80
100.63,-58.10,-22.49,-38.95,-8.79,83.59,-159.36,77.04
109.19,-39.74,7.81,-44.29,-31.49,77.93,-166.74,59.37
114.43,-20.18,34.45,-28.91,-51.75,66.23,-172.18,41.02
116.20,0.00,44.98,0.00,-68.00,49.40,-175.60,22.18
114.43,20.18,34.45,28.91,-78.98,28.75,-176.97,3.09
109.19,39.74,7.81,44.29,-83.85,5.86,-176.27,-16.04
100.63,58.10,-22.49,38.95,-82.21,-17.47,-173.51,-34.99
89.01,74.69,-42.26,15.38,-74.21,-39.46,-168.71,-53.52
74.69,89.01,-42.26,-15.38,-60.46,-58.39,-161.95,-71.43
58.10,100.63,-22.49,-38.95,-42.03,-72.79,-153.29,-88.50
39.74,109.19,7.81,-44.29,-20.33,-81.55,-142.83,-104.54
20.18,114.43,34.45,-28.91,2.93,-84.00,-130.71,-119.35
0.00,116.20,44.98,0.00,25.97,-79.94,-117.05,-132.77
-20.18,114.43,34.45,28.91,47.00,-69.68,-102.03,-144.63
-39.74,109.19,7.81,44.29,64.39,-54.03,-85.81,-154.81
-58.10,100.63,-22.49,38.95,76.78,-34.19,-68.59,-163.17
-74.69,89.01,-42.26,15.38,83.23,-11.70,-50.57,-169.62
-89.01,74.69,-42.26,-15.38,83.23,11.70,-31.95,-174.09
-100.63,58.10,-22.49,-38.95,76.78,34.19,-12.96,-176.52
-109.19,39.74,7.81,-44.29,64.39,54.03,6.18,-176.89
-114.43,20.18,34.45,-28.91,47.00,69.68,25.25,-175.19
-116.20,0.00,44.98,0.00,25.97,79.94,44.02,-171.44
-114.43,-20.18,34.45,28.91,2.93,84.00,62.28,-165.68
-109.19,-39.74,7.81,44.29,-20.33,81.55,79.81,-157.99
-100.63,-58.10,-22.49,38.95,-42.03,72.79,96.40,-148.44
